127.0.0.1 - - [28/Sep/2021:10:35:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:13 +0530] "GET /FlyAway/ HTTP/1.1" 200 2516
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:13 +0530] "GET /FlyAway/CSS/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:13 +0530] "GET /FlyAway/Images/travel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:13 +0530] "GET /FlyAway/Images/irving-martinez-ScTcKdhInUE-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:16 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3207
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:16 +0530] "GET /FlyAway/CSS/Style5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:16 +0530] "GET /FlyAway/Images/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Sep/2021:10:35:18 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2516
