0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:36 +0530] "GET /FlyAway/Images/joshua-pilla-ZloCK_gHB9o-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:44 +0530] "GET /FlyAway/SearchServlet?source=India&destination=UK&persons=1&date=2021-09-03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:44 +0530] "GET /FlyAway/Searchresult.jsp HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:54 +0530] "GET /FlyAway/SearchServlet?source=Dubai&destination=India&persons=1&date=2021-09-03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:54 +0530] "GET /FlyAway/Searchresult.jsp HTTP/1.1" 200 4529
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:56 +0530] "POST /FlyAway/Register.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:56 +0530] "GET /FlyAway/CSS/Style6.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:56 +0530] "GET /FlyAway/Images/collins-lesulie-zPf7JIJucJU-unsplash.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:44:08 +0530] "POST /FlyAway/Register.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:44:08 +0530] "GET /FlyAway/Images/collins-lesulie-zPf7JIJucJU-unsplash.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:44:28 +0530] "POST /FlyAway/ServletRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:44:28 +0530] "GET /FlyAway/payment.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:44:28 +0530] "GET /FlyAway/CSS/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:44:42 +0530] "POST /FlyAway/Payment HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:44:42 +0530] "GET /FlyAway/Thankyou.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:45:47 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:45:49 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:45:50 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:45:51 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:45:53 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:45:55 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:02 +0530] "GET /FlyAway/SearchServlet?source=India&destination=USA&persons=1&date=2021-09-24 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:02 +0530] "GET /FlyAway/Searchresult.jsp HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:04 +0530] "POST /FlyAway/Register.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:04 +0530] "GET /FlyAway/Images/collins-lesulie-zPf7JIJucJU-unsplash.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:08 +0530] "POST /FlyAway/ServletRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:08 +0530] "GET /FlyAway/payment.jsp HTTP/1.1" 200 3251
